dataset,strategy,fit_method,accuracy,brier_score,time,num_rules,num_preds,trial_count
Nursery,greedy,FOLD-RM (fit),0.9664351851851852,0.969139994171682,2.7461254596710205,81,24,30
Nursery,greedy,FOLD-RM (fit),0.9583333333333334,0.9629997900087197,2.5368127822875977,70,24,30
Nursery,greedy,FOLD-RM (fit),0.9552469135802469,0.9607923421241505,2.7162325382232666,70,25,30
Nursery,greedy,FOLD-RM (fit),0.9506172839506173,0.9562462260786264,2.515375852584839,65,28,30
Nursery,greedy,FOLD-RM (fit),0.9567901234567902,0.9620745874496521,2.508448839187622,62,24,30
Nursery,greedy,FOLD-RM (fit),0.9756944444444444,0.9772123555675544,2.693885087966919,75,25,30
Nursery,greedy,FOLD-RM (fit),0.9598765432098766,0.9637698711047843,2.5822789669036865,66,26,30
Nursery,greedy,FOLD-RM (fit),0.9564043209876543,0.9606255484472607,2.6243858337402344,71,22,30
Nursery,greedy,FOLD-RM (fit),0.9683641975308642,0.9710922275648919,2.5501646995544434,71,28,30
Nursery,greedy,FOLD-RM (fit),0.9625771604938271,0.9661175395702545,2.525144338607788,62,30,30
Nursery,greedy,FOLD-RM (fit),0.96875,0.9705560397068284,2.6218674182891846,69,26,30
Nursery,greedy,FOLD-RM (fit),0.9575617283950617,0.9627875162453317,2.786813974380493,81,29,30
Nursery,greedy,FOLD-RM (fit),0.9772376543209876,0.9787296070835263,2.850947856903076,85,29,30
Nursery,greedy,FOLD-RM (fit),0.9702932098765432,0.9724959774020834,2.5604329109191895,76,28,30
Nursery,greedy,FOLD-RM (fit),0.9876543209876543,0.9880955654421681,2.5807409286499023,84,28,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9224537037037037,0.9345745436216425,2.5533440113067627,28,19,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9351851851851852,0.9436191324611493,2.6086630821228027,36,20,30
Nursery,greedy,CON-FOLD (confidence_fit),0.939429012345679,0.9482094193549754,3.0034737586975098,40,21,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9205246913580247,0.9330995500746934,2.9637906551361084,30,17,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9409722222222222,0.9476102614270069,3.2933738231658936,34,20,30
Nursery,greedy,CON-FOLD (confidence_fit),0.9402006172839507,0.9468121961650846,3.178096294403076,33,21,30
